City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,port lincoln,-34.7333,135.8667,17.13,81,0,2.04,AU,1707764391
170,caraballeda,10.6112,-66.8522,32.98,48,40,3.09,VE,1707764414
171,phek,25.6667,94.5,3.82,89,0,0.42,IN,1707764587
172,kashgar,39.4547,75.9797,8.56,14,40,3.0,CN,1707764588
173,argo,37.6333,22.7333,9.88,71,17,2.48,GR,1707764589
174,sos'va,59.1766,61.8558,-13.86,93,100,2.68,RU,1707764589
175,tralee,52.2704,-9.7026,7.14,81,75,6.17,IE,1707764591
176,al bawiti,28.3492,28.8659,20.25,14,99,3.61,EG,1707764592
177,avarua,-21.2078,-159.775,27.03,69,40,3.6,CK,1707764281
178,tupancireta,-29.0806,-53.8358,33.65,47,34,4.8,BR,1707764593
179,wailua homesteads,22.0669,-159.378,22.24,88,0,3.6,US,1707764365
180,cova figueira,14.8905,-24.2934,21.57,79,31,5.28,CV,1707764595
181,nantucket,41.2835,-70.0995,7.3,75,0,3.6,US,1707764576
182,obama,35.4958,135.746,4.03,77,0,4.44,JP,1707764597
183,savannah,32.0835,-81.0998,17.04,89,100,5.14,US,1707764532
184,west island,-12.1568,96.8225,27.99,78,40,3.09,CC,1707764383
185,manhattan,40.7834,-73.9662,9.63,59,0,2.57,US,1707764532
186,kingisepp,59.3733,28.6134,-8.12,85,60,4.72,RU,1707764598
187,kapa'a,22.0752,-159.319,22.99,89,0,1.75,US,1707764386
188,buka,40.8108,69.1986,5.74,69,0,1.45,UZ,1707764598
189,hami,42.8,93.45,0.41,46,100,2.63,CN,1707764598
190,pisco,-13.7,-76.2167,26.03,73,100,4.63,PE,1707764363
191,keflavik,64.0049,-22.5624,1.95,86,75,10.29,IS,1707764377
192,pingliang,35.5392,106.6861,3.78,67,0,1.02,CN,1707764598
193,karatau,43.1667,70.4667,-0.62,100,100,1.89,KZ,1707764598
194,rongelap,11.1635,166.8941,26.24,80,100,9.55,MH,1707764456
195,cockburn town,21.4612,-71.1419,25.33,71,0,7.99,TC,1707764448
196,el abiodh sidi cheikh,32.893,0.5484,17.78,48,0,8.2,DZ,1707764599
197,urucara,-2.5364,-57.76,30.04,69,80,1.97,BR,1707764599
198,axim,4.8699,-2.2405,28.19,82,100,3.66,GH,1707764599
199,xichang,27.8964,102.2634,6.91,61,0,0.35,CN,1707764599
200,shitanjing,39.2342,106.3439,2.17,15,14,1.55,CN,1707764600
201,petropavlovka,50.6114,105.3196,-16.22,83,100,3.14,RU,1707764475
202,nizhneudinsk,54.9076,99.0276,-13.9,81,100,3.23,RU,1707764600
203,nova sintra,14.8667,-24.7167,20.12,81,12,5.01,CV,1707764373
204,torghay,49.6339,63.4981,-18.39,93,5,2.67,KZ,1707764600
205,saint-joseph,-21.3667,55.6167,26.21,86,27,5.49,RE,1707764604
206,port alfred,-33.5906,26.891,20.66,88,0,0.89,ZA,1707764605
207,san antonio,29.4241,-98.4936,16.43,41,0,7.2,US,1707764229
208,oriximina,-1.7656,-55.8661,29.7,72,34,2.83,BR,1707764605
209,vrangel',42.7297,133.0839,0.35,88,7,2.51,RU,1707764437
210,katabu,-4.9333,122.5167,24.53,93,100,3.52,ID,1707764605
211,terra santa,-2.1042,-56.4869,29.58,74,73,1.6,BR,1707764606
212,itoman,26.1247,127.6694,19.43,48,75,3.09,JP,1707764384
213,ust'-kut,56.7938,105.7672,-14.42,94,100,2.92,RU,1707764606
214,tortoli,39.9256,9.6572,11.69,68,100,1.47,IT,1707764606
215,bereket,39.2446,55.5154,13.97,37,25,3.98,TM,1707764606
216,rabaul,-4.1967,152.1721,26.25,82,100,2.96,PG,1707764606
217,igarka,67.4667,86.5833,-36.83,96,20,2.15,RU,1707764379
218,chinde,26.8418,88.0763,9.67,46,89,2.29,NP,1707764397
219,skikda,36.8762,6.9092,15.17,84,0,9.36,DZ,1707764607
220,oltinko'l,40.8011,72.1634,8.76,56,94,0.84,UZ,1707764607
221,cabo san lucas,22.8909,-109.9124,24.23,47,0,3.13,MX,1707764378
222,jizzax,40.1158,67.8422,6.12,74,8,1.14,UZ,1707764607
223,langxiang,46.95,128.8833,-3.38,89,47,3.74,CN,1707764607
224,hermanus,-34.4187,19.2345,21.56,95,35,1.25,ZA,1707764361
225,carnarvon,-24.8667,113.6333,24.31,82,0,11.13,AU,1707764466
226,sao joao da barra,-21.6403,-41.0511,32.05,60,5,5.39,BR,1707764470
227,qarqaraly,49.4058,75.4742,-22.28,92,22,2.92,KZ,1707764523
228,kyneton,-37.25,144.4333,23.94,72,2,2.88,AU,1707764608
229,alamogordo,32.8995,-105.9603,11.45,54,0,2.68,US,1707764608
230,badiyah,22.45,58.8,21.28,70,100,3.11,OM,1707764608
231,thompson,55.7435,-97.8558,-9.91,85,75,1.54,CA,1707764192
232,altay,47.8667,88.1167,-19.77,71,5,3.39,CN,1707764608
233,santa elena de uairen,4.6167,-61.1333,32.24,26,100,3.05,VE,1707764609
